"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
"Fitting Group. / Socket DL","334","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Socket Push In","335","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Socket Union","336","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / TY (DL)","339","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Tee","340","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Tee DL","341","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Valve Elbow","346","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Valve Plug","347","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Valve Socket","348","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Valve Socket Pushin","349","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Way Tee","353","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fitting Group. / Y DL","356","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Flange","297","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Floor Drain","298","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Foot Valve","300","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Fuel","3381","Standard Price","Periodic (at closing)","","","","","","",""
"G20 Pipe","3397","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"GOLDTAX အိမ်သုတ်ဆေး","3399","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Gold Lex Window Profile","3395","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Gold Series (Polishing)","3598","Standard Price","Periodic (at closing)","","","","","","",""
"Gold Tax Pipe","3391","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Goods","3639","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Gutter Fitting","301","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"HD (Blow) ရေတိုင်ကီ","3389","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Heater Coil for Mould","3418","Standard Price","Periodic (at closing)","","","","","","",""
"JADE အိမ်သုတ်ဆေး","3398","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Junnet","305","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"KGO Design","3434","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Kaw Bu","306","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"King သံစားပွဲ","637","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
