"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
"Gutter Fitting","301","Standard Price","Automated","","","","","","",""
"HD (Blow) ရေတိုင်ကီ","3389","Standard Price","Manual","","","","","","",""
"Heater Coil for Mould","3418","Standard Price","Manual","","","","","","",""
"JADE အိမ်သုတ်ဆေး","3398","Standard Price","Manual","","","","","","",""
"Junnet","305","Standard Price","Automated","","","","","","",""
"KGO Design","3434","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Kaw Bu","306","Standard Price","Automated","","","","","","",""
"King သံစားပွဲ","637","Standard Price","Automated","","","","","","",""
"Lion Ware (Polishing)","3596","Standard Price","Manual","","","","","","",""
"Main Box","3330","Standard Price","Manual","","","","","","",""
"Main Label","3329","Standard Price","Manual","","","","","","",""
"Main Other","3332","Standard Price","Manual","","","","","","",""
"Main Plastic","3328","Standard Price","Manual","","","","","","",""
"Main String","3331","Standard Price","Manual","","","","","","",""
"Mango Clip","3433","Standard Price","Manual","","","","","","",""
"Mango Gutter","3393","Standard Price","Manual","","","","","","",""
"Mango Hose","367","Standard Price","Automated","","","","","","",""
"Mango Pipe","366","Standard Price","Automated","","","","","","",""
"Mango Ware (Polishing)","3590","Standard Price","Manual","","","","","","",""
"Mango Window Profile","3405","Standard Price","Manual","","","","","","",""
"Marble Series (Polishing)","3594","Standard Price","Manual","","","","","","",""
"Marble ရေတိုင်ကီ","3406","Standard Price","Manual","","","","","","",""
"Oil","3422","Standard Price","Manual","","","","","","",""
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","Standard Price","Manual","","","","","","",""
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","Standard Price","Manual","","","","","","",""
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","Standard Price","Manual","","","","","","",""
"PVC Door","317","Standard Price","Automated","","","","","","",""
"Packing","3380","Standard Price","Manual","","","","","","",""
"Packing for Window Profile","3426","Standard Price","Manual","","","","","","",""
"Packing(Hose)","3627","Standard Price","Manual","","","","","","",""
"Packing-Plastic","3421","Standard Price","Manual","","","","","","",""
"Packing-Sticker","3425","Standard Price","Manual","","","","","","",""
"Pallet","3582","Standard Price","Manual","","","","","","",""
"Panel Box","320","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Pipe (အရောင်ဖျော့)","3410","Standard Price","Manual","","","","","","",""
"Pipe(ပေတို)","3388","Standard Price","Manual","","","","","","",""
"Popular Group","1896","Standard Price","Automated","","","","","","",""
"Popular Group / BOX","599","Standard Price","Automated","","","","","","",""
"Popular Group / Brush","587","Standard Price","Automated","","","","","","",""
"Popular Group / King  အုပ်ဆောင်း","616","Standard Price","Automated","","","","","","",""
"Popular Group / King ခုံ","615","Standard Price","Automated","","","","","","",""
"Popular Group / King ချိတ်","614","Standard Price","Automated","","","","","","",""
"Popular Group / King ခြင်း","613","Standard Price","Automated","","","","","","",""
"Popular Group / King ဇကာ","617","Standard Price","Automated","","","","","","",""
"Popular Group / King ဇလုံ","612","Standard Price","Automated","","","","","","",""
"Popular Group / King ထွေးခံ","622","Standard Price","Automated","","","","","","",""
"Popular Group / King ဖလား","611","Standard Price","Automated","","","","","","",""
"Popular Group / King ဘူး","619","Standard Price","Automated","","","","","","",""
"Popular Group / King ရေခွက်","620","Standard Price","Automated","","","","","","",""
"Popular Group / King ရေပုံး","618","Standard Price","Automated","","","","","","",""
"Popular Group / King ဦးထုပ်","621","Standard Price","Automated","","","","","","",""
"Popular Group / MOANA  Brush","3583","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA  ‌‌‌ဂေါ်ပြား","3631","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA Box","3412","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA ချိတ်","3633","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA ခြင်း","3634","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA ဇကာ","3613","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA ဇလုံ","3635","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA ထွေးခံ","3637","Standard Price","Manual","","","","","","",""
"Popular Group / MOANA ရေပုံး","3636","Standard Price","Manual","","","","","","",""
"Popular Group / Mango  Brush","623","Standard Price","Automated","","","","","","",""
"Popular Group / Mango Box","2871","Standard Price","Automated","","","","","","",""
"Popular Group / Mango ဇလုံ","626","Standard Price","Automated","","","","","","",""
"Popular Group / Mango တံမျက်စည်း","624","Standard Price","Automated","","","","","","",""
"Popular Group / Mango ဖလား","625","Standard Price","Automated","","","","","","",""
"Popular Group / ORDER","648","Standard Price","Automated","","","","","","",""
"Popular Group / Summit Box","672","Standard Price","Automated","","","","","","",""
"Popular Group / Summit Foot Mass","678","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ကတော့","662","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ခုံ","676","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ချိတ်","663","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ခြင်း","653","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ခွက်","667","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဂေါ် ပြား","658","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဂျိုင့်","666","Standard Price","Automated","","","","","","",""
"Popular Group / Summit စင်","655","Standard Price","Automated","","","","","","",""
"Popular Group / Summit စဉ့်နီတုံး","661","Standard Price","Automated","","","","","","",""
"Popular Group / Summit စားပွဲ","677","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဆပ်ပြာခွက်","673","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဆီးအိုး","657","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဇကာ","652","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဇလုံ","651","Standard Price","Automated","","","","","","",""
