"Display Name","ID","External ID"
"Popular Group / King ဘူး","619","__import__.pp_pc_43"
"Popular Group / King ရေခွက်","620","__import__.pp_pc_44"
"Popular Group / King ရေပုံး","618","__import__.pp_pc_42"
"Popular Group / King ဦးထုပ်","621","__import__.pp_pc_45"
"Popular Group / MOANA  Brush","3583","__export__.product_category_3583_d9648aa2"
"Popular Group / MOANA  ‌‌‌ဂေါ်ပြား","3631","__export__.product_category_3631_de6f9f2f"
"Popular Group / MOANA Box","3412","__export__.product_category_3412_9895ff9d"
"Popular Group / MOANA ချိတ်","3633","__export__.product_category_3633_c49a93c3"
"Popular Group / MOANA ခြင်း","3634","__export__.product_category_3634_11a258fa"
"Popular Group / MOANA ဇကာ","3613","__export__.product_category_3613_dc3140a5"
"Popular Group / MOANA ဇလုံ","3635","__export__.product_category_3635_be0b055f"
"Popular Group / MOANA ထွေးခံ","3637","__export__.product_category_3637_88808c0e"
"Popular Group / MOANA ရေပုံး","3636","__export__.product_category_3636_aa70904c"
"Popular Group / Mango  Brush","623","__import__.pp_pc_47"
"Popular Group / Mango Box","2871","__export__.product_category_2871_2bb9e4b6"
"Popular Group / Mango ဇလုံ","626","__import__.pp_pc_50"
"Popular Group / Mango တံမျက်စည်း","624","__import__.pp_pc_48"
"Popular Group / Mango ဖလား","625","__import__.pp_pc_49"
"Popular Group / ORDER","648","__import__.pp_pc_74"
"Popular Group / Summit Box","672","__import__.pp_pc_99"
"Popular Group / Summit Foot Mass","678","__import__.pp_pc_105"
"Popular Group / Summit ကတော့","662","__import__.pp_pc_89"
"Popular Group / Summit ခုံ","676","__import__.pp_pc_103"
"Popular Group / Summit ချိတ်","663","__import__.pp_pc_90"
"Popular Group / Summit ခြင်း","653","__import__.pp_pc_80"
"Popular Group / Summit ခွက်","667","__import__.pp_pc_94"
"Popular Group / Summit ဂေါ် ပြား","658","__import__.pp_pc_85"
"Popular Group / Summit ဂျိုင့်","666","__import__.pp_pc_93"
"Popular Group / Summit စင်","655","__import__.pp_pc_82"
"Popular Group / Summit စဉ့်နီတုံး","661","__import__.pp_pc_88"
"Popular Group / Summit စားပွဲ","677","__import__.pp_pc_104"
"Popular Group / Summit ဆပ်ပြာခွက်","673","__import__.pp_pc_100"
"Popular Group / Summit ဆီးအိုး","657","__import__.pp_pc_84"
"Popular Group / Summit ဇကာ","652","__import__.pp_pc_79"
"Popular Group / Summit ဇလုံ","651","__import__.pp_pc_78"
"Popular Group / Summit ပန်းအိုး","669","__import__.pp_pc_96"
"Popular Group / Summit ပုဂံ","671","__import__.pp_pc_98"
"Popular Group / Summit ဖလား","670","__import__.pp_pc_97"
"Popular Group / Summit ဘူး","660","__import__.pp_pc_87"
"Popular Group / Summit မုန့်စင်","654","__import__.pp_pc_81"
"Popular Group / Summit မှန်","659","__import__.pp_pc_86"
"Popular Group / Summit ယပ်တောင်","668","__import__.pp_pc_95"
"Popular Group / Summit ရေခဲဘူး","679","__import__.pp_pc_106"
"Popular Group / Summit ရေတကောင်း","665","__import__.pp_pc_92"
"Popular Group / Summit ရေပုံး","674","__import__.pp_pc_101"
"Popular Group / Summit လင်ဗန်း","664","__import__.pp_pc_91"
"Popular Group / Summit အမှိုက်ပုံး","675","__import__.pp_pc_102"
"Popular Group / Summit အုပ်ဆောင်း","656","__import__.pp_pc_83"
"Popular Group / ခုံ","608","__import__.pp_pc_31"
"Popular Group / ချိတ်","596","__import__.pp_pc_19"
"Popular Group / ခြင်း","598","__import__.pp_pc_21"
"Popular Group / စက်ဘီးခြင်း","271","__import__.pci_3"
"Popular Group / စင်","605","__import__.pp_pc_28"
"Popular Group / စားပွဲ","607","__import__.pp_pc_30"
"Popular Group / ဆပ်ပြာခွက်","584","__import__.pp_pc_6"
"Popular Group / ဆီးအိုး","586","__import__.pp_pc_8"
"Popular Group / ဇကာ","597","__import__.pp_pc_20"
"Popular Group / ဇလုံ","601","__import__.pp_pc_24"
"Popular Group / ထွေးခံ","585","__import__.pp_pc_7"
"Popular Group / ပုဂံ","583","__import__.pp_pc_5"
"Popular Group / ဖလား","592","__import__.pp_pc_15"
"Popular Group / ဗီဒို","3401","__export__.product_category_3401_c5e2c6a6"
"Popular Group / ဘူး","579","__import__.pp_pc_1"
"Popular Group / မုန့်ကဒ်","606","__import__.pp_pc_29"
"Popular Group / မှန်","307","__import__.pci_39"
"Popular Group / ယပ်တောင်","591","__import__.pp_pc_13"
"Popular Group / ရေခဲဘူး","580","__import__.pp_pc_2"
"Popular Group / ရေခွက်","581","__import__.pp_pc_3"
"Popular Group / ရေတကောင်း","582","__import__.pp_pc_4"
"Popular Group / ရေပုံး","600","__import__.pp_pc_23"
"Popular Group / ရေမှုတ်","593","__import__.pp_pc_16"
"Popular Group / လင်ဗန်း","589","__import__.pp_pc_11"
"Popular Group / အမှိုက်ပုံး","603","__import__.pp_pc_26"
"Popular Group / အိမ်သာ Brush","588","__import__.pp_pc_10"
"Popular Group / အုပ်ဆောင်း","602","__import__.pp_pc_25"
"Popular Group / အံဆွဲ","604","__import__.pp_pc_27"
"Popular Group / ဦးထုပ်","590","__import__.pp_pc_12"
"Popular Group / ‌‌‌ဂေါ်ပြား","594","__import__.pp_pc_17"
"Popular Pipe (Cancel)","365","__export__.product_category_365_34a765d9"
"Production","3615","__export__.product_category_3615_22b6ebc3"
"Raw","3580","__export__.product_category_3580_90496ca9"
"Raw (Bajar Pipe)","3378","__export__.product_category_3378_58d91117"
"Raw (Recycle)","3377","__export__.product_category_3377_68f744bb"
"Raw Chemical","3427","__export__.product_category_3427_6a7f9da7"
"Raw Materials","3334","__export__.product_category_3334_30f3c768"
"Raw Materials(Hose)","3628","__export__.product_category_3628_2d308e32"
"Recycle","3429","__export__.product_category_3429_56bfe66b"
"Recycle (Kaw Seed)","3431","__export__.product_category_3431_1d95c000"
"Recycle(Hose)","3629","__export__.product_category_3629_b8167aa4"
"Reject","3599","__export__.product_category_3599_10008b78"
"Repro Tee ","630","__import__.pp_pc_55"
"SOGO Gutter","363","__export__.product_category_363_5d205423"
"SOGO Hose","319","__import__.pci_51"
"SOGO Pipe","350","__import__.pci_82"
"SOGO Window Profile","374","__import__.new_pc_2"
"SOGO Window Profile / Window","354","__import__.pci_86"
"SOGO Window Profile / Window Profile","355","__import__.pci_87"
"SOGO.","375","__import__.new_pc_3"
"SOGO. / Base Box","270","__import__.pci_2"
"SOGO. / Board","272","__import__.pci_4"
"SOGO. / Breaker Box","277","__import__.pci_9"
"SOGO. / Choke","281","__import__.pci_13"
"SOGO. / FX  Design","290","__import__.pci_22"
"SOGO. / Globe","3294","__export__.product_category_3294_987ca084"
"SOGO. / Joint Box","304","__import__.pci_36"
"SOGO. / PDI  Design","309","__import__.pci_41"
"SOGO. / PPI  Design","310","__import__.pci_42"
"SOGO. / PRU  Design","311","__import__.pci_43"
"SOGO. / PSG  Design","312","__import__.pci_44"
"SOGO. / PSI  Design","313","__import__.pci_45"
"SOGO. / PSK  Design","314","__import__.pci_46"
"SOGO. / PSO  Design","315","__import__.pci_47"
"SOGO. / PSR  Design","316","__import__.pci_48"
"SOGO. / Plug","322","__import__.pci_54"
"SOGO. / SG  Design","331","__import__.pci_63"
"SOGO. / Sogo Clip","283","__import__.pci_15"
"SOGO. / Switch/Socket","338","__import__.pci_70"
"Semi Finished Goods","3333","__export__.product_category_3333_ff0be4c8"
"Septic Tank","3587","__export__.product_category_3587_b0486ecd"
"Septic Tank - Accessories","3588","__export__.product_category_3588_a707314e"
"Services","3640","product.product_category_services"
"Smart Aircon","3284","__export__.product_category_3284_17585f71"
"Socket DL","3385","__export__.product_category_3385_94240163"
"Sprinkler","337","__import__.pci_69"
"Sticker","3586","__export__.product_category_3586_8d794744"
"Thinwall","610","__import__.pp_pc_33"
"Trunking","376","__import__.new_pc_4"
"Trunking / PVC E-Pipe","318","__import__.pci_50"
"Trunking / Trunking","344","__import__.pci_76"
"Union","345","__import__.pci_77"
"Waste","3383","__export__.product_category_3383_c86b62ee"
"Water Tap","352","__import__.pci_84"
"Window Accessory","3301","__export__.product_category_3301_e4451e8c"
"YS Design","3303","__export__.product_category_3303_bbca3519"
"Yoma Pipe (Cancel)","681","__export__.product_category_681_9a358c7e"
"ကားကတ်ဆက်","3286","__export__.product_category_3286_343a1c83"
"ကြက်စာခွက်","629","__import__.pp_pc_54"
"ကြိတ်သားသံစားပွဲ","638","__import__.pp_pc_63"
"ကြွေပြား","3285","__export__.product_category_3285_908d6f5b"
"ခြင်းလုံး","632","__import__.pp_pc_57"
"ဂဏန်းခြင်း","3280","__export__.product_category_3280_b9328203"
"ငှက်သိုက်ခွက်","3612","__export__.product_category_3612_39d7c589"
"စည်ပင်အမှိုက်ပုံး","1897","__export__.product_category_1897_2deea164"
"စတီးစားပွဲ","636","__import__.pp_pc_61"
"စာအုပ်စင်","641","__import__.pp_pc_66"
"ဆီပေပါ","3298","__export__.product_category_3298_c7174ae8"
"နို့ဆီပုံး","628","__import__.pp_pc_53"
"ပန်းအိုး","627","__import__.pp_pc_52"
"ပုဂံစင်","640","__import__.pp_pc_65"
"ဖော့ပြား","3392","__export__.product_category_3392_f14f0b11"
"ဖော့ဘူး","3292","__export__.product_category_3292_26ebdf8f"
"ဘိုထိုင်ကြွေအိုး","358","__export__.product_category_358_403d3381"
"မီးသတ်ဆေးဘူး","289","__import__.pci_21"
"မီးအားမြှင့်စက်","682","__export__.product_category_682_abd63030"
"မုန့်စင်","642","__import__.pp_pc_67"
"ရာဘာခံခွက်","650","__import__.pp_pc_77"
"ရေခဲပုံး","303","__import__.pci_35"
"ရေခဲမုန့်ဇွန်း","3279","__export__.product_category_3279_2a33f97c"
"ရေချိုးခန်းမှန်","3282","__export__.product_category_3282_5c50c65d"
"ရေတိုင်ကီ Group","2878","__export__.product_category_2878_b8304292"
"ရေတိုင်ကီ Group / Mango ရေတိုင်ကီ","2873","__export__.product_category_2873_7b75f29c"
"ရေတိုင်ကီ Group / ရေတိုင်ကီ","351","__import__.pci_83"
"ရေဖြန်းခေါင်း","3299","__export__.product_category_3299_fab6c343"
"ရေသန့်ဘူး","609","__import__.pp_pc_32"
"ရွှေဘူး","649","__import__.pp_pc_75"
"လမ်းဘလောက်တုံး","644","__import__.pp_pc_70"
"သော့ချိတ်","631","__import__.pp_pc_56"
"သံခုံ","643","__import__.pp_pc_68"
"သံစားပွဲ","635","__import__.pp_pc_60"
"သံစားပွဲ Group","1908","__export__.product_category_1908_47a0ade5"
"အိမ်သာခွက်","595","__import__.pp_pc_18"
"အိမ်သာပိုက်","343","__import__.pci_75"
"အ၀တ်လှန်းစင်","639","__import__.pp_pc_64"
