Company ID,Category ID,External ID,Category,Source valuation,Before,Verified after,Status
1,3389,__export__.product_category_3389_43d38a9f,HD (Blow) ရေတိုင်ကီ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3418,__export__.product_category_3418_63901857,Heater Coil for Mould,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3398,__export__.product_category_3398_07a85175,JADE အိမ်သုတ်ဆေး,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,305,__import__.pci_37,Junnet,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3434,__export__.product_category_3434_5212ee8b,KGO Design,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,306,__import__.pci_38,Kaw Bu,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,637,__import__.pp_pc_62,King သံစားပွဲ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3596,__export__.product_category_3596_176929b6,Lion Ware (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3638,__export__.product_category_3638_fc0dd9bc,MOANA ကြက်စာခွက်,,Perpetual (at invoicing),Perpetual (at invoicing),excluded-preserved
1,3330,__export__.product_category_3330_0f8f8cdd,Main Box,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3329,__export__.product_category_3329_955610ef,Main Label,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3332,__export__.product_category_3332_c0213c6d,Main Other,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3328,__export__.product_category_3328_0e741a16,Main Plastic,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3331,__export__.product_category_3331_42d6dd01,Main String,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3433,__export__.product_category_3433_a65cdc81,Mango Clip,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3393,__export__.product_category_3393_0ab4ede0,Mango Gutter,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,367,__export__.product_category_367_42babad3,Mango Hose,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,366,__export__.product_category_366_50484782,Mango Pipe,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3590,__export__.product_category_3590_8a613db8,Mango Ware (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3405,__export__.product_category_3405_572ea9ac,Mango Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3594,__export__.product_category_3594_68bfc509,Marble Series (Polishing),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3406,__export__.product_category_3406_22d07546,Marble ရေတိုင်ကီ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3422,__export__.product_category_3422_214ae66d,Oil,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3623,__export__.product_category_3623_7649ecd1,PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3624,__export__.product_category_3624_ee11affb,PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3625,__export__.product_category_3625_0d18290d,PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,317,__import__.pci_49,PVC Door,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3380,__export__.product_category_3380_cb3af103,Packing,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
