Company ID,Category ID,Category,Source valuation,Before,After
1,3628,Raw Materials(Hose),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3629,Recycle(Hose),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3630,Compound(Hose),Manual,Perpetual (at invoicing),Periodic (at closing)
1,3631,Popular Group / MOANA  ‌‌‌ဂေါ်ပြား,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3632,Dye Powder,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3633,Popular Group / MOANA ချိတ်,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3634,Popular Group / MOANA ခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3635,Popular Group / MOANA ဇလုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3636,Popular Group / MOANA ရေပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
1,3637,Popular Group / MOANA ထွေးခံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,1,All,Manual,Perpetual (at invoicing),Periodic (at closing)
2,3,All / Expenses,Manual,Perpetual (at invoicing),Periodic (at closing)
2,269,Ball Valve စွပ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,270,SOGO. / Base Box,Manual,Perpetual (at invoicing),Periodic (at closing)
2,271,Popular Group / စက်ဘီးခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,272,SOGO. / Board,Manual,Perpetual (at invoicing),Periodic (at closing)
2,274,Fitting Group. / Brass Faucet Elbow,Manual,Perpetual (at invoicing),Periodic (at closing)
2,275,Fitting Group. / Brass Faucet Socket,Manual,Perpetual (at invoicing),Periodic (at closing)
2,276,Fitting Group. / Brass Faucet Tee,Manual,Perpetual (at invoicing),Periodic (at closing)
2,277,SOGO. / Breaker Box,Manual,Perpetual (at invoicing),Periodic (at closing)
2,278,Fitting Group. / Cap,Manual,Perpetual (at invoicing),Periodic (at closing)
2,279,Fitting Group. / Cap DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,280,Ceiling,Manual,Perpetual (at invoicing),Periodic (at closing)
2,281,SOGO. / Choke,Manual,Perpetual (at invoicing),Periodic (at closing)
2,282,Fitting Group. / Clean Out Plug,Manual,Perpetual (at invoicing),Periodic (at closing)
2,283,SOGO. / Sogo Clip,Manual,Perpetual (at invoicing),Periodic (at closing)
2,284,Corner,Manual,Perpetual (at invoicing),Periodic (at closing)
2,285,Fitting Group. / Cross TY DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,286,Door Lock,Manual,Perpetual (at invoicing),Periodic (at closing)
2,287,Fitting Group. / ELBOW,Manual,Perpetual (at invoicing),Periodic (at closing)
2,288,Fitting Group. / Elbow (DL),Manual,Perpetual (at invoicing),Periodic (at closing)
2,289,မီးသတ်ဆေးဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,290,SOGO. / FX  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,292,Fitting Group. / Faucet Elbow,Manual,Perpetual (at invoicing),Periodic (at closing)
2,293,Fitting Group. / Faucet Reducing Elbow,Manual,Perpetual (at invoicing),Periodic (at closing)
2,294,Fitting Group. / Faucet Socket,Manual,Perpetual (at invoicing),Periodic (at closing)
2,295,Fitting Group. / Faucet Tee,Manual,Perpetual (at invoicing),Periodic (at closing)
2,296,Fitting Group. / Fitting Socket,Manual,Perpetual (at invoicing),Periodic (at closing)
2,297,Flange,Manual,Perpetual (at invoicing),Periodic (at closing)
2,298,Floor Drain,Manual,Perpetual (at invoicing),Periodic (at closing)
2,300,Foot Valve,Manual,Perpetual (at invoicing),Periodic (at closing)
2,301,Gutter Fitting,Manual,Perpetual (at invoicing),Periodic (at closing)
2,302,Fitting Group. / Head,Manual,Perpetual (at invoicing),Periodic (at closing)
2,303,ရေခဲပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,304,SOGO. / Joint Box,Manual,Perpetual (at invoicing),Periodic (at closing)
2,305,Junnet,Manual,Perpetual (at invoicing),Periodic (at closing)
2,306,Kaw Bu,Manual,Perpetual (at invoicing),Periodic (at closing)
2,307,Popular Group / မှန်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,308,Fitting Group. / Nipple,Manual,Perpetual (at invoicing),Periodic (at closing)
2,309,SOGO. / PDI  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,310,SOGO. / PPI  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,311,SOGO. / PRU  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,312,SOGO. / PSG  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,313,SOGO. / PSI  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,314,SOGO. / PSK  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,315,SOGO. / PSO  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,316,SOGO. / PSR  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,317,PVC Door,Manual,Perpetual (at invoicing),Periodic (at closing)
2,318,Trunking / PVC E-Pipe,Manual,Perpetual (at invoicing),Periodic (at closing)
2,319,SOGO Hose,Manual,Perpetual (at invoicing),Periodic (at closing)
2,320,Panel Box,Manual,Perpetual (at invoicing),Periodic (at closing)
2,321,Fitting Group. / Fitting Clip,Manual,Perpetual (at invoicing),Periodic (at closing)
2,322,SOGO. / Plug,Manual,Perpetual (at invoicing),Periodic (at closing)
